guid,noteid,Title,OccludedImage,Clinical,Comment,Origin,Insertion,Attachments,Innervation,Actions,Plate,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a,15a,16a,17a,18a,19a,20a,tags
=CPc+5OI&B,1349477488476,Tränenapparat,"<img src=""MSA-Lacrimal_Apparatus77.jpg"">","<b>Exkurs:&nbsp;<br></b>Täglich&nbsp;werden unter Normalbedingungen, d. h. wenn ein Mensch nicht weint, etwa 5–10 ml Tränenflüssigkeit (lat. lacrima) gebildet, die Sekretion sistiert während des Schlafes. Die Tränenflüssigkeit besteht aus einer isotonen Salzlösung (Na<sup>+</sup>, K<sup>+</sup>, Cl<sup>-</sup>, Bikarbonat) und enthält sezernierte&nbsp;Proteine&nbsp;(Lysozym, Lactoferrin, α- und β-Defensine) mit antibakterieller (bakteriozider und bakeriostatischer) Wirkung. Weitere Komponenten sind Epidermal Growth Factor (EGF) zur Förderung der Heilung kleiner&nbsp;Wunden&nbsp;und IgA, das durch Transzytose in die Tränenflüssigkeit gelangt.<b><br></b>","<b>Comment:</b>&nbsp;Die Hauptfunktion der&nbsp;Glandula&nbsp;lacrimalis&nbsp;besteht in der&nbsp;<b>Sekretion der Tränenflüssigkeit</b>. Diese bildet die mittlere von drei Schichten des&nbsp;<b>präkornealen Flüssigkeitsfilms</b>. Dieser Flüssigkeitsfilm gleicht geringfügige Unebenheiten der Hornhaut aus und verhindert deren Austrocknung. Die innere Schicht des präkornealen Flüssigkeitsfilms ist viskös und wirkt dadurch stabilisierend auf den Film. Sie wird von den Becherzellen des Konjunktivalepithels gebildet. Die äußere Schicht ist lipophil und verhindert das rasche Verdunsten. Sie stammt vom Talg der&nbsp;Glandulae tarsales, sog.&nbsp;Meibom-Drüsen.<br><br>Die Tränensekretion wird durch&nbsp;<b>parasympathische</b>&nbsp;Fasern angeregt, deren 1. Neuron im Nucleus salivatorius superior im&nbsp;Hirnstamm&nbsp;liegt.&nbsp;Diese präganglionären Fasern gelangen über den Intermediusanteil des&nbsp;<b>N. facialis</b>&nbsp;(VII) als&nbsp;<b>Nervus petrosus major</b>&nbsp;zum&nbsp;<b>Ganglion pterygopalatinum</b>, wo sie auf das&nbsp;<b>2. Neuron</b>&nbsp;umgeschaltet werden.<br>",,,,,,"Atlas Plate 82","<div>Pars orbitalis glandula lacrimalis</div>","<div>Plicae semilunaris et lacus lacrimalis</div>","<div>Caruncula lacrimalis</div>","<div>Papilla et punctum lacrimalis inferior</div>","<div>Concha nasalis inferior</div>","<div>Ductus nasolacrimalis</div>","<div>Saccus lacrimalis</div>","<div>Canaliculus lacrimalis</div>",,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Eye DopeRanatomy::System::Ophthalmological Dufte::Kopf_und_Hals::Auge::Tränendrüse"
2?Z~rN#]1`,1349477488477,Larynx,"<img src=""MSA-Larynx2.jpg"">",,"<b>Comment:</b> The larynx is the connection between the pharynx and the trachea. It prevents foreign bodies from entering the airways and is designed for the production of sound (phonation). The larynx is shorter in women and children than in men and is formed by 9 cartilages (3 paired and 3 unpaired). It is located in the midline opposite C3-6 and is divided into 3 regions:<br> 1. Vestibule 2. Ventricle 3. Infraglottic",,,,,,,"Superior thyroid artery;<div>Arteria thyroidea superior</div>","Internal laryngeal nerve;<div>Ramus internus des nervus laryngeus superior</div>","Thyroid cartilage;<div>Cartilago thyroidea</div>","Cricoid cartilage;<div>Cartilago cricoidea</div>","Infraglottic region;<br>Cavitas infraglottica","Ventricular fold - (ventricle = ""cavity"" of the ""fold"");<div>Plica ventricularis<br></div>","Ventricular region&nbsp;- (ventricle = ""cavity"" of the ""region"");<div>Ventriculus laryngis</div>","Vestibular fold&nbsp;- (vestibule = ""entrance"" to the ""fold"");<div>Plica vestibularis</div>","Vestibular region&nbsp;- (vestibule = ""entrance"" to the ""region"");<div>Vestibulum laryngis<br></div>",,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Neck DopeRanatomy::System::Otorhinolaryngological::Larynx Dufte::Kopf_und_Hals::Bonus"
4XAy=p3{sf,1349477488478,"Laterale Begrenzung der Nasenhöhle 1","<img src=""MSA-Lateral_Wall_of_Nasal_Cavity4.jpg"">","<b>Klinisch:</b>&nbsp;Die Hypophyse liegt in der Fossa hypophysealis oberhalb des Sinus sphenoidales des Os sphenoidale (Keilbein). Chirurgisch kann sie durch die Nase und den Sinus sphenoidales erreicht werden (trans-sphenoidaler Zugang).<br>","<b>Kommentar:</b>&nbsp;in der lateralen Nasenwand können die conchae nasales superior und media des Os ethmoidale und die concha inferior erkannt werden. <br>Weiterhin bilden der os nasale, maxillare, lacrimale, palatinale und sphenoidale die Nasenwand.<div>Der harte Gaumen wird vom Processus palatinus der Maxilla und dem os palatinum gebildet.</div>",,,,,,"Atlas Plate 37","<div>Os frontale (Sinus frontales)<br></div>","<div>Os nasale</div>","Cartilago nasi lateralis","Maxilla (Processus frontalis; Canalis incisivus; Processus palatinus; Processus alveolaris);<div>Os maxilla</div>","<div>Concha nasalis inferior</div>","Gaumen;<div>Os palatinum</div>","Keilbein (Sinus sphenoidale; Processus pterygoideus (Flügelfortsatz); Hamulus pterygoideus);<div>Os sphenoidale</div>","Siebbein (concha nasalis media; Lamina cribrosa; concha nasalis superior);<div>Os ethmoidale</div>","Tränenbein;<div>Os lacrimale</div>",,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Nasal DopeRanatomy::System::Otorhinolaryngological Dufte::Kopf_und_Hals::Schädel::Knochen"
=MjuC|$ATb,1349477488479,"Laterale Wand der Nasenhöhle 2","<img src=""MSA-Lateral_Wall_of_Nasal_Cavity81.jpg"">","<b>Klink</b>&nbsp;Entzündungen der&nbsp;Nasenschleimhaut (<b>Rhinitis</b>&nbsp;oder „Schnupfen“) bedingen vermehrte Schleimabsonderung und Drüsensekretion mit Anschwellen der Venenplexus. Dadurch wird meist die&nbsp;Nasenatmung behindert („verstopfte&nbsp;Nase“). Durch lokale Applikation von vasokonstriktorisch („sympathomimetisch“) wirkenden&nbsp;Nasentropfen kann die Nasenatmung wieder erleichtert werden. Hierbei ist zu beachten, dass solche Präparate nicht längerfristig eingesetzt werden sollten, da sonst die Gefahr einer Schädigung der Schleimhaut sowie der Gewöhnung mit reaktiv stärkerer Anschwellung nach Absetzen besteht.<br><div><br></div><div>Die&nbsp;<b>ungünstig hoch gelegene Öffnung des Sinus maxillaris</b>&nbsp;im Bereich des Hiatus semilunaris kann zum&nbsp;<b>Aufstau von Entzündungsmaterial</b>&nbsp;(eitrigen Ergüssen) führen, die u.&nbsp;U. auch von den Zahnwurzeln ausgehen können. Fließt beim Schlaf in Seitenlage dann der Erguss ab, kann er bis in die Bronchien aspiriert werden und zu einer Bronchosinusitis führen.<br></div>","<b>Comment:</b>&nbsp;Die&nbsp;laterale&nbsp;Nasenwand ist durch die mit einem schwellkörperartigen Gewebe überzogenen Nasenmuscheln (<b>Conchae nasalis inferior</b>,&nbsp;<b>media</b>&nbsp;und&nbsp;<b>superior</b>) aufgegliedert, die von unten nach oben jeweils um etwa 1 cm nach dorsal versetzt sind. Unter ihnen befindet sich jeweils ein&nbsp;Nasengang (<b>Meatus nasi inferior</b>,&nbsp;<b>medius</b>&nbsp;und&nbsp;<b>superior</b>). Sie münden dorsal&nbsp;im Bereich des Meatus nasopharyngeus durch zwei trichterförmige Choanae in den Pharynx.<br><br><div>Der aus der Siebbeinplatte und dem Vorderteil des Keilbeinkörpers gebildete&nbsp;<b>Recessus sphenoethmoidalis</b>&nbsp;bildet die Kuppel der&nbsp;Nasenhöhle. Vorne schließt sich die Regio olfactoria auf der oberen Muschel und einer kleinen Fläche auf dem&nbsp;Septum&nbsp;an. Hinten münden in ihn die beiden Hälften der Keilbeinhöhle (<b>Sinus sphenoidalis</b>).</div><div>In den flachen&nbsp;<b>oberen&nbsp;Nasengang</b>&nbsp;münden die hinteren Siebbeinzellen (<b>Cellulae ethmoidales posteriores</b>).</div><div>Im mittleren&nbsp;Nasengang liegt im oberen Abschnitt des Hiatus semilunaris das&nbsp;<b>Infundibulum ethmoidale</b>&nbsp;des Sinus maxillaris, die Öffnung der Kieferhöhle. Etwas weiter dorsal schließt sich die Öffnung der Stirnhöhle (<b>Sinus frontalis</b>) und der vorderen und mittleren Siebbeinzellen (<b>Cellulae ethmoidales anteriores</b>&nbsp;und&nbsp;<b>mediae</b>) an.</div><div>Unter der unteren&nbsp;Nasenmuschel (im unteren Nasengang) mündet der&nbsp;<b>Ductus nasolacrimalis</b>, der&nbsp;Tränennasengang, mit einer zarten Schleimhautfalte (Hasner-Klappe).</div>",,,,,,"Atlas Plate 36","<div>Sinus frontales</div>","<div>Concha nasalis medialis</div>","<div>Meatus nasalis medialis</div>","<div>Concha nasalis inferior</div>","Mündung der Tuba auditiva","<div>Tonsilae pharyngea</div>","<div>Sinus sphenoidale</div>","<div>Hypophysis in sella turcica</div>",,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Head&Neck::Nasal DopeRanatomy::System::Otorhinolaryngological Dufte::Kopf_und_Hals::Nase"
1#XamimZhh,1349477488480,"Linkes Atrium und Ventrikel","<img src=""MSA-Left_Atrium_and_Ventricle-Flap_Opened_in_Posterolateral_Wall_of_Left_Ventricle23.jpg"">","<b>Clinical:</b> Because of the pressures it must withstand, the mitral valve is most often involved in valvular heart disease. Mitral stenosis (narrowing) can impede the flow of blood from the left atrium to the left ventricle, causing left atrial dilation. Mitral regurgitation (insufficiency) is often caused by abnormalities of the valve leaflets, rupture or fibrosis of a papillary muscle, or rupture of the chordae tendineae.<br>","<b>Comment:</b>  The left ventricle is significantly thicker than the right ventricle.  It contains 2 papillary muscles whose chordae tendineae attach to the cusps of the mitral (left atrioventricular or bicuspid) valve.  The mitral valve looks like a bishopampersandapos;s miter.  <br><br>Heart sounds (lub-dub) occur from the closing of the valves.  The first heart sound results from the closing of the mitral and tricuspid valves, whereas the second heart sound results from the closing of the aortic and pulmonic valves.<br>",,,,,,"Atlas Plate 215","Auricula sinistra","Valva atrioventricularis sinistra (Mitralklappe)","M. papillaris anterior","Chordae tendineae","Atrium sinistrum","Vv. pulmonales sinistrae","Ligamentum arteriosum","Arcus aortae",,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Thorax DopeRanatomy::System::Cardiovascular::Heart Dufte::Thorax::Herz"
S4m@xZWP`h,1349477488481,"Linker vorhof und Ventrikel: Schnitt mit der Mitralklappe entfernt","<img src=""MSA-Left_Atrium_and_Ventricle-Section_with_Mitral_Valve_Cut_Away24.jpg"">","<b>Clinical:</b>Valvular heart disease can arise from a variety of conditions (stenosis, rupture of papillary muscles or chordae tendineae, malformed valve leaflets) and most often involves either the mitral or the aortic valves.<br>The major blood supply to the interventricular septum is via the left anterior descending branch of the left coronary artery. Ischaemia of the interventricular septum may compromise the Purkinje conduction system innervating the septum and ventricular walls.<br>","<b>Comment:</b>  Usually, the left atrium is smaller than the right atrium, but it has thicker walls.  Oxygenated blood from the lungs passes into the left atrium through 4 pulmonary veins.  <br><br>Most of the interventricular septum is muscular, but the uppermost portion is membranous and is a common site for ventricular septal defects.  <br><br>The upper portion of the left ventricle, known as the aortic vestibule, is the outflow track to the ascending aorta.  The aortic valve has 3 semilunar cusps.  <br><br>Valvular heart disease can arise from a variety of conditions (stenosis, rupture of papillary muscles or chordae tendineae, malformed valve leaflets) and most often involve either the mitral or the aortic valves.<br><br><img src=""ana_007560_vorhof_ventrikel_links.png""><br>",,,,,,"Atlas Plate 215","Auricula sinistra","Valva aortae","Septum interventriculare (muskulärer Teil)","Atrium sinistrum","Fossa ovalis","V. pulmonalis sinistra",,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Thorax DopeRanatomy::System::Cardiovascular::Heart Dufte::Thorax::Herz"
?d@B-|;:5G,1349477488482,"Bein: Schnittbild","<img src=""MSA-Leg-Cross_Section50.jpg"">","<b>Klinik: Kompartmentsyndrom</b><div>Darunter versteht man eine ödematöse Schwellungen oder Hämatombildung in einer Faszienloge als Folge von schwerster Beanspruchung (<strong>Marathonlauf</strong>) oder&nbsp;<strong>Traumata</strong>. Besonders häufig ist der vordere Unterschenkel betroffen (<strong>Tibialis-anterior-Syndrom</strong>).&nbsp;Durch die engen Faszienverhältnisse kommt es zum&nbsp;<strong>Druckanstieg</strong>&nbsp;und&nbsp;<strong>Verminderung der Muskeldurchblutung</strong>&nbsp;(A. tibialis anterior).&nbsp;Dies führt neben einer ausgeprägten Schmerzsymptomatik zu nekrotischen Schäden des Muskelgewebes&nbsp;(kraftvolles Heben der Großzehe unmöglich) bzw. der Nerven (N. fibularis profundus, Sensibilitätsstörungen zwischen 1. und 2. Zehe).&nbsp;Das Kompartmentsyndrom stellt einen&nbsp;<strong>Notfall</strong>&nbsp;dar! Die Therapie der Wahl besteht in der Faszienspaltung zur vorübergehenden Druckentlastung.</div>","<b>Kommentar:</b>&nbsp;<div><div>Die gesamte Unterschenkelmuskulatur wird durch die&nbsp;<strong>Fascia cruris</strong>&nbsp;umhüllt. Am lateralen Unterschenkel werden die Muskeln durch 2 Septen unterteilt, die von der Fascia cruris zur Vorderkante bzw. Hinterkante der Fibula ziehen:&nbsp;<strong>Septum intermusculare cruris anterius</strong>&nbsp;und&nbsp;<strong>Septum intermusculare cruris posterius</strong>. Zusammen mit der&nbsp;<strong>Membrana interossea cruris</strong>&nbsp;entstehen so 3 Muskellogen:</div><div><strong>Fibularisloge</strong>&nbsp;(Peroneusloge) mit:</div><div>N. fibularis superficialis</div><div><strong>Extensorenloge</strong>&nbsp;mit</div><div>N. fibularis profundus</div><div>A. und V. tibialis anterior</div><div><strong>Flexorenloge:</strong>&nbsp;oberflächliche und tiefe Flexorenloge, getrennt durch die Fascia cruris profunda.&nbsp;In der&nbsp;<strong>tiefen</strong>&nbsp;Flexorenloge verlaufen:</div><div>A. und V. tibialis posterior</div><div>N. tibialis</div><div>A. und&nbsp;V. fibularis.</div><div>Das Septum intermusculare cruris anterius trennt die Fibularisloge von der Extensorenloge; das Septum intermusculare cruris posterius trennt die Fibularisloge von der Loge der oberflächlichen Flexoren.&nbsp;Durch dieses vordere Septum hindurch verläuft der&nbsp;<strong>N. fibularis profundus</strong>&nbsp;zu den Extensoren, die er innerviert.&nbsp;Er verläuft dann zusammen mit den Vasa tibialia anteriora in der Extensorenloge nach distal.</div><img src=""ana_004100_unterschenkel_muskellogen.png""></div>",,,,,,"Atlas Plate 510","<div>Musculus tibialis anterior</div>","<div>Musculus extensor digitorum longus</div>","<div>Musculus fibrularis brevis (M. peroneus brevis)</div>","<div>Musculus gastrocnemius (caput lateralis)</div>","<div>Musculus flexor hallucis longus</div>","<div>Musculus flexor digitorum longus</div>","<div>Musculus tibialis posterior</div>",,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Lower_Leg DopeRanatomy::System::Musculoskeletal::Muscular::Lower_Limb::Lower_Leg Dufte::Untere_Extremitäten::Unterschenkel"
XxaE0ZfjP,1349477488483,"Sehnen und Bänder des Sprunggelenks: Laterale Ansicht","<img src=""MSA-Ligaments_and_Tendons_of_Ankle-Lateral_View10.jpg"">","<b>Klinik: Verletzungen des oberen Sprunggelenks</b><div>Eine häufige Verletzung des oberen Sprunggelenks ist das sog.&nbsp;<strong>Supinationstrauma</strong>. Dabei kommt es durch Umknicken des Fußes nach innen zu einer Überlastung des lateralen Bandapparats. Neben Zerrungen und Dehnungen (Distorsion) können bei größeren Gewalteinwirkungen auch&nbsp;die lateralen Bänder reißen, besonders oft das&nbsp;<strong>Lig. talofibulare anterius</strong>.</div>","<b>Kommentar:</b>&nbsp;Am Fuß unterscheidet man ein oberes und ein unteres Sprunggelenk:<div><strong>oberes Sprunggelenk</strong>&nbsp;(Articulatio talocruralis): zwischen Unterschenkel und Talus</div><div><strong>unteres Sprunggelenk</strong>&nbsp;(Articulatio talotarsalis): zwischen Talus proximal, Calcaneus und Os naviculare distal.</div><div>Das&nbsp;obere Sprunggelenk&nbsp;(OSG) ist ein&nbsp;<strong>Scharniergelenk</strong>, das sich nur beugen (<strong>Plantarflexion</strong>) und strecken (<strong>Dorsalextension</strong>) lässt. Die Gelenkkapsel wird durch Kollateralbänder verstärkt. Medial befindet sich das mehrteilige&nbsp;<strong>Lig. deltoideum</strong>, lateral das Lig. talofibulare anterius und posterius sowie das Lig. calcaneofibulare.</div><div>Das&nbsp;untere Sprunggelenk&nbsp;(USG) besteht aus 2 Teilgelenken: der vorderen Articulatio talocalcaneonavicularis und der hinteren Articulatio subtalaris. Die Grenze zwischen beiden Teilgelenken bildet das&nbsp;<strong>Lig. talocalcaneum interosseum</strong>. Das sog.&nbsp;<strong>Pfannenband</strong>&nbsp;(Lig. calcaneonaviculare plantare) ist an der Bildung der Gelenkpfanne beteiligt. Das USG ist funktionell ein einachsiges Gelenk, das die Bewegungen&nbsp;<strong>Inversion</strong>&nbsp;und&nbsp;<strong>Eversion</strong>&nbsp;ermöglicht. Durch kombinierte Bewegungen der Fußwurzelgelenke wird der Bewegungsumfang zu&nbsp;<strong>Pronation</strong>&nbsp;und&nbsp;<strong>Supination</strong>&nbsp;erweitert.</div><div><br></div><div><img src=""ana_003700_sprunggelenk_baender_lateral.png""><br></div>",,,,,,"Atlas Plate 515","<div>Ligamentum tibiofibulare posterius/anterius (Syndesmosebänder)</div>","Retinaculum musculorum fibularium superius<br>","Retinaculum musculorum fibularium inferius<br>","<div>Tendo M. fibrularis brevis</div>","Lig bifurcatum","<div>Laterale Bänder</div><div><div><strong>Lig. talofibulare anterius</strong>&nbsp;und&nbsp;<strong>Lig. talofibulare posterius:</strong>&nbsp;zwischen Fibula und Talus</div><div><strong>Lig. calcaneofibulare:</strong>&nbsp;zwischen Fibula und Calcaneus.</div></div>",,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Lower_Leg DopeRanatomy::System::Musculoskeletal::Skeletal::Lower_Limb::Lower_Leg Dufte::Untere_Extremitäten::Fuß::Bänder"
YLH:.bYghJ,1349477488484,"Sehnen und Bänder des Sprunggelenks: Mediale Ansicht","<img src=""MSA-Ligaments_and_Tendons_of_Ankle-Medial_View11.jpg"">","<b>Klinik: Verletzungen des oberen Sprunggelenks</b><div>Eine häufige Verletzung des oberen Sprunggelenks ist das sog.&nbsp;<strong>Supinationstrauma</strong>. Dabei kommt es durch Umknicken des Fußes nach innen zu einer Überlastung des lateralen Bandapparats. Neben Zerrungen und Dehnungen (Distorsion) können bei größeren Gewalteinwirkungen auch&nbsp;die lateralen Bänder reißen, besonders oft das&nbsp;<strong>Lig. talofibulare anterius</strong>.</div>","<b>Kommentar:</b>&nbsp;Am Fuß unterscheidet man ein oberes und ein unteres Sprunggelenk:<div><strong>oberes Sprunggelenk</strong>&nbsp;(Articulatio talocruralis): zwischen Unterschenkel und Talus</div><div><strong>unteres Sprunggelenk</strong>&nbsp;(Articulatio talotarsalis): zwischen Talus proximal, Calcaneus und Os naviculare distal.</div><div>Das&nbsp;obere Sprunggelenk&nbsp;(OSG) ist ein&nbsp;<strong>Scharniergelenk</strong>, das sich nur beugen (<strong>Plantarflexion</strong>) und strecken (<strong>Dorsalextension</strong>) lässt. Die Gelenkkapsel wird durch Kollateralbänder verstärkt. Medial befindet sich das mehrteilige&nbsp;<strong>Lig. deltoideum</strong>, lateral das Lig. talofibulare anterius und posterius sowie das Lig. calcaneofibulare.</div><div>Das&nbsp;untere Sprunggelenk&nbsp;(USG) besteht aus 2 Teilgelenken: der vorderen Articulatio talocalcaneonavicularis und der hinteren Articulatio subtalaris. Die Grenze zwischen beiden Teilgelenken bildet das&nbsp;<strong>Lig. talocalcaneum interosseum</strong>. Das sog.&nbsp;<strong>Pfannenband</strong>&nbsp;(Lig. calcaneonaviculare plantare) ist an der Bildung der Gelenkpfanne beteiligt. Das USG ist funktionell ein einachsiges Gelenk, das die Bewegungen&nbsp;<strong>Inversion</strong>&nbsp;und&nbsp;<strong>Eversion</strong>&nbsp;ermöglicht. Durch kombinierte Bewegungen der Fußwurzelgelenke wird der Bewegungsumfang zu&nbsp;<strong>Pronation</strong>&nbsp;und&nbsp;<strong>Supination</strong>&nbsp;erweitert.</div><div><br></div><div><img src=""ana_003700_sprunggelenk_baender_medial.png""><br></div>",,,,,,"Atlas Plate 515","Lig. deltoideum<div><ul><li>Pars tibiotalaris anterior<br></li><li>Pars tibionavicularis<br></li><li>Pars tibiocalcanea<br></li><li>Pars tibiotalaris posterior<br></li></ul></div>","<div>Ligamentum calcaneonaviculare plantare (Pfannenband)</div>","<div>Ligamentum plantare longum</div>",<div>Achillessehne</div>,,,,,,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Lower_Leg DopeRanatomy::System::Musculoskeletal::Skeletal::Lower_Limb::Lower_Leg Dufte::Untere_Extremitäten::Fuß::Bänder"
OQst!|&b!;,1349477488485,"Ligaments and Tendons of Foot: Plantar View","<img src=""MSA-Ligaments_and_Tendons_of_Foot-Plantar_View12.jpg"">","<b>Clinical:</b> Direct trauma to the foot can result is fracture of the metatarsals and phalanges. These are usually treated by immobilization, as the fragments are often not displaced because of the extensive ligament attachments that stabilize these joints.<br>","<b>Comment:</b>  The tarsometatarsal joints are plane synovial joints.  They consist of articular capsules and are strengthened by plantar, dorsal, and interosseous ligaments.  They permit gliding and sliding movements.  <br><br>The metatarsophalangeal joints are multiaxial condyloid synovial joints surrounded by articular capsules and strengthened by plantar and collateral ligaments.  They permit flexion and extension, some abduction and adduction, and circumduction.  The plantar (plate) ligaments are part of the weight-bearing surface of the foot.  <br><br>The interphalangeal joints are uniaxial hinge-type (ginglymus) synovial joints that also are enclosed by capsules and strengthened by plantar and collateral ligaments.  They permit flexion and extension.<br>",,,,,,"Atlas Plate 516","<div>Ligamenta transversi metatarsi profundi</div>","<div>Ligamenta plantares</div>","<div>Ligamenta metatarsi plantares</div>","<div>Tendo peroneus longus</div>","<div>Ligamentum plantare longum</div>","<div>Ligamentum calcaneonaviculare plantare</div>","<div><div>Os sesamoideum</div></div>","Articulationes interphalangeae pedis",,,,,,,,,,,,,"DopeRanatomy::#DOPE DopeRanatomy::Region::Lower_Limb::Lower_Leg DopeRanatomy::System::Musculoskeletal::Skeletal::Lower_Limb::Lower_Leg Dufte::Untere_Extremitäten::Fuß::Bänder"
